Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0.512821 0.25641 0 100 0 0 1.79487 1.02564 40.7692 1.79487 1.79487 1.53846
bfs 0.512821 0.769231 0 100 0 0 3.58974 3.58974 44.1026 1.53846 0 0
filebound 0 0 0 100 0 0 0.512821 0.512821 42.8205 1.02564 1.53846 1.28205
Kmeansnf 0.512821 0.512821 100 100 100 0 100 100 40 2.82051 99.7436 1.28205
svmrfe 0 0.769231 15.8974 100 0 0 0.512821 0.512821 40.7692 1.02564 0 1.79487
apr 0.512821 0.25641 0.25641 100 0 0 0.769231 0.25641 41.5385 0.769231 1.02564 0.512821
btree 0.25641 1.02564 0 100 0 0 1.28205 1.28205 41.7949 0.512821 0.769231 1.02564
lud 0.512821 1.28205 100 100 100 0 5.89744 6.41026 39.4872 100 98.9744 0.769231
nn 0.769231 0 0 100 0 0 0 0 41.7949 1.79487 1.79487 1.79487
particlefilter 0.25641 0.769231 0.25641 100 0 0 0 0 43.0769 0.769231 0.769231 0.769231
PLSA 0.769231 1.02564 0 100 0 0.25641 0.512821 0 40.5128 1.79487 2.30769 1.79487
Scalparc 0.769231 0.512821 1.53846 100 0 0 0 0 42.3077 1.79487 2.05128 1.79487
semphy 0.25641 0.25641 1.28205 100 0 0 0.512821 0.25641 40.7692 1.53846 1.02564 0.769231
streamcluster 0.25641 0 0 100 0 78.2051 0 4.35897 42.3077 2.05128 1.28205 2.30769
swaptions 0 0.512821 0.769231 100 0.25641 0.25641 0.25641 0.512821 39.4872 2.5641 1.28205 1.28205
Swish 0.512821 0.25641 0 100 0 0 0.25641 0.25641 43.8462 0.769231 1.02564 2.05128
vips 0.25641 0.512821 0.25641 100 0 0 0.25641 0.25641 42.0513 0.25641 1.02564 1.02564
x264 0.512821 0.25641 28.2051 100 0 0.25641 0.25641 0.25641 39.4872 1.79487 2.5641 1.28205
blackscholes 0.25641 0.769231 0 100 0 0.769231 0.512821 0.25641 39.7436 1.79487 0.25641 0.25641
bodytrack 1.02564 0 0 100 0 0 1.28205 1.79487 44.6154 0.512821 2.05128 1.79487
cfd 0.512821 1.53846 0.512821 100 0 0.25641 1.53846 0 40.2564 0.769231 1.79487 1.02564
fluidanimate 0 0.769231 0 100 0.25641 0.769231 0.25641 0.512821 43.5897 0.769231 0.769231 0.769231
HOP 0.512821 0.512821 0 100 0 0 0.769231 0.769231 40 1.28205 0.25641 0.25641
Jacobi 0.769231 0.512821 100 100 100 0 1.28205 0.769231 43.0769 27.9487 100 1.53846
Kmeans 1.02564 0.25641 100 100 100 0 59.2308 59.2308 41.5385 25.3846 100 1.02564
AVERAGE 0.451282 0.533333 17.959 100 16.0205 3.23077 7.25128 7.31282 41.5897 7.32307 16.9641 1.18974
