Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0 0 0 0 3.40662 3.38934 2.58741 4.13232 2.94526 2.07522
bfs 0 0 0 6.09282 0 0 4.45616 4.48892 3.34958 3.62086 3.07167 1.72813
filebound 0 9.96449 3.11065 12.3757 0 0 12.809 12.8724 9.98303 5.59308 1.20979 0.0947096
Kmeansnf 0 0 66.3565 70.6395 0.077526 0 74.492 74.492 6.06378 14.6453 5.10985 5.11178
svmrfe 0 10.5667 2.24463 0 0.751185 0.751185 5.43552 6.10899 6.8838 5.03433 5.74692 5.77265
apr 0 8.89924 7.86827 2.71725 0 4.77188 4.91564 9.88155 10.3723 9.30622 3.65444 5.24074
btree 0 0 0 0 0 0 2.39671 2.40178 1.57187 3.41809 3.32671 1.14963
lud 0 12.7845 29.3129 0 31.5805 24.3412 0.547354 13.3854 12.8075 33.0646 30.5325 12.1997
nn 0 20.4393 10.5393 31.2168 11.8156 0.0616866 28.7317 28.9707 5.73193 18.5692 11.8192 3.1188
particlefilter 0 9.43401 2.13127 1.72805 9.42645 0 1.49591 3.50235 7.46324 3.79978 6.66465 3.12875
PLSA 0 8.24143 20.6367 21.9354 11.2855 23.4662 17.9822 27.4047 27.583 14.7971 6.89986 29.6746
Scalparc 0 13.1854 0.333526 12.3915 0 12.6028 7.39868 5.06126 9.57952 3.55599 1.26539 7.96814
semphy 0 0 0 0 0 0 1.8068 1.79592 1.70099 3.23095 2.39456 0.466283
streamcluster 0 26.7756 23.2913 12.8097 27.1698 1.61376 18.0252 25.735 19.5703 25.2919 24.3026 8.25172
swaptions 0 17.7703 0.756289 4.34803 3.07755 4.28837 2.21584 3.80386 7.91358 1.90651 4.7912 5.39156
Swish 0 10.1431 3.27302 12.5138 0 0 12.9645 13.0052 3.94303 6.23036 1.19921 0.0481878
vips 0 3.19341 2.87748 7.2626 4.47631 4.47631 21.6126 23.3222 8.64114 13.0247 5.93222 5.87269
x264 0 7.64372 1.94622 7.24229 2.3525 0 4.3887 3.24472 4.64016 5.51057 4.00697 3.60161
blackscholes 0 9.95997 0 0 5.16027 0 0.772118 2.32853 8.45516 1.54167 5.99104 4.31155
bodytrack 0 0.976449 4.00588 0 0 0 1.22824 1.60076 2.86527 2.7779 1.95528 0.932763
cfd 0 13.3546 0 0 4.99273 4.99273 0.747154 6.15268 9.15271 5.50252 6.55778 6.53696
fluidanimate 0 14.7447 12.03 0 7.97643 9.70556 3.82691 6.95992 14.1373 8.55419 8.8251 5.79458
HOP 0 21.6089 0 15.1919 2.91339 12.0061 17.4717 17.5091 21.5276 3.61315 3.79147 18.8335
Jacobi 0 18.0199 15.6928 1.00542 8.99519 0 6.63518 7.22696 0.692564 18.1132 8.28193 0.835081
Kmeans 0 0 99.9953 49.4035 11.8222 0 51.3476 51.375 3.85412 41.5445 12.4698 2.78544
AVERAGE 0 9.50823 12.2561 10.755 5.75493 4.12311 12.2844 14.2408 8.44284 10.2552 6.90982 5.63699
