Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 61.3467 4.02384 8.37472 14.4477 7.44064 7.79865 5.39919 8.44464 0.279596 8.45833 4.39489
BFS 0 50.0766 4.15818 0 4.15495 0 0 2.13229 9.20717 1.83813 4.15524 1.7903
BLACKSCHOLES_10M 0 73.9842 56.2727 50.7187 73.9842 55.3326 78.7293 56.096 38.052 55.2136 3.76583 3.17798
BODYTRACK 0 47.2321 8.16633 0 39.7978 0.813108 3.59112 2.31668 8.50281 10.1594 3.25878 2.66336
FACESIM 0 61.4523 13.8433 6.31312 52.9477 13.8128 15.5577 6.40397 8.12188 0.498788 4.0904 4.10693
FERRET 0 41.4936 12.951 0 41.4937 4.10414 43.1606 5.01708 4.74002 0 2.11561 2.29701
HEARTWALL 0 47.3198 15.229 0.950276 47.3465 11.2663 58.8908 12.4022 6.16793 8.47691 1.47566 2.7128
HOTSPOT 0 44.2304 0.97202 0 32.201 0 0.911501 2.31095 7.58938 0.209648 1.99806 1.67942
JACOBI 0 73.9007 15.8582 28.6871 0.739107 0.713476 23.9343 24.4958 9.23175 52.2255 7.78978 9.3037
KMEANS 0 46.033 18.5733 0 46.0011 1.39222 51.0817 3.0199 9.97262 0.63641 1.72497 2.10025
KMEANSNF 0 65.185 47.5676 7.18888 65.185 15.6445 20.625 8.54752 5.48023 36.7885 8.51027 7.25329
LAVAMD 0 88.3643 69.3525 75.0534 15.2157 75.0634 66.9605 74.6425 46.0806 75.3157 21.2035 24.6405
LEUKOCYTE 0 66.3041 0 37.6939 0 37.7409 19.7242 27.1683 15.9254 6.71817 5.38317 7.32879
LUD 0 91.4103 91.4103 0 91.4171 32.0447 77.2119 5.0723 7.93682 8.67003 2.86606 3.11183
NW 0 59.4259 0 0 6.17404 6.16474 5.26239 1.47122 10.7426 2.45171 5.1393 2.50289
SHA 0 44.0815 14.3905 0 35.4176 0 3.53629 2.36439 9.11794 7.27393 3.20699 1.84817
SRAD 0 69.676 20.5969 3.71895 19.5002 19.4891 19.8424 20.1885 13.4606 19.5056 4.02133 5.72253
STREAM 0 62.9842 0 20.3672 0 10.361 40.992 15.8769 10.1496 0.242634 8.21581 8.53534
STREAM_threads 0 80.7709 16.7176 41.1005 97.1576 0 36.5281 33.7209 14.7858 14.7148 98.47 11.6208
X264_ducks 0 40.1954 15.487 0 40.2561 7.0623 9.48897 6.12315 6.81116 0 2.77233 2.98373
X264_native 0 41.212 13.4453 0 41.2121 5.33661 50.3726 4.9281 9.28942 0 2.33536 2.57614
AVERAGE 1 1.59842 1.20906 1.13341 1.36412 1.14466 1.302 1.15224 1.12372 1.14344 1.09569 1.0535
