0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 56.36 0.0 14.05 6.73 6.73 2.82 1.75 14.28 0.0 5.49 2.43
2 BFS 0.0 44.47 3.94 0.0 33.29 0.01 0.0 4.61 6.67 3.96 7.75 0.39
3 BLACKSCHOLES_10M 0.0 51.09 28.95 17.83 51.09 22.01 61.56 22.3 11.95 21.36 0.35 1.58
4 BODYTRACK 0.0 42.0 15.41 0.0 42.0 0.0 49.55 0.68 9.76 0.0 2.15 0.75
5 FACESIM 0.0 56.38 14.51 11.84 56.38 11.83 60.07 6.32 15.84 4.27 1.85 2.09
6 FERRET 0.0 35.72 26.1 0.0 35.72 4.24 48.87 2.55 9.77 0.0 2.21 1.08
7 HEARTWALL 0.0 37.51 20.71 0.0 37.51 4.72 52.34 3.16 3.02 0.87 2.32 0.96
8 HOTSPOT 0.0 37.53 1.85 0.0 26.93 0.0 5.61 0.65 8.8 1.49 1.8 0.43
9 JACOBI 0.0 73.73 0.0 39.53 0.0 0.0 26.18 23.86 11.46 20.83 5.7 6.66
10 KMEANS 0.0 39.27 33.83 0.0 39.2 8.14 50.02 1.27 8.72 0.0 0.63 0.09
11 KMEANSNF 0.0 61.33 61.33 9.47 61.33 41.7 69.04 5.17 3.35 41.5 6.3 5.85
12 LAVAMD 0.0 79.84 56.88 64.38 79.84 63.32 61.67 62.43 53.2 64.11 35.32 7.26
13 LEUKOCYTE 0.0 63.31 39.98 40.03 63.31 39.97 8.91 29.62 25.08 38.14 3.95 5.34
14 LUD 0.0 90.59 90.59 3.38 90.59 90.59 75.01 3.3 7.7 0.0 2.02 2.45
15 NW 0.0 52.84 10.04 0.88 52.84 0.9 0.94 0.0 19.45 3.74 1.41 0.63
16 SHA 0.0 36.96 9.22 0.0 36.96 0.0 46.11 0.85 11.55 0.94 0.73 0.64
17 SRAD 0.0 67.14 0.14 8.73 67.14 21.19 83.44 12.8 13.37 8.06 5.06 4.88
18 STREAM 0.0 63.12 0.0 28.43 0.0 0.0 27.92 12.45 15.95 21.3 6.08 6.5
19 STREAM_threads 0.0 80.69 16.5 51.99 97.26 10.31 40.83 34.15 15.49 14.32 98.53 10.5
20 X264_ducks 0.0 35.24 29.81 2.12 35.14 8.27 56.45 3.37 5.78 0.06 1.32 1.06
21 X264_native 0.0 35.85 29.52 0.0 35.82 5.38 51.41 2.13 10.23 0.0 2.25 0.68
22 AVERAGE 0.0 54.33 23.3 13.94 45.19 16.16 41.84 11.12 13.4 11.66 9.2 2.96
