0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 9.49 79.23 27.95 100.0 0.0 76.92 78.21 78.21 46.15 0.0 1.79 4.62
2 BFS 10.77 10.51 2.56 100.0 0.0 97.95 81.03 81.03 45.64 0.0 4.1 6.67
3 BLACKSCHOLES_10M 79.49 79.74 76.92 100.0 76.92 76.92 82.31 82.31 71.79 76.92 77.69 73.85
4 BODYTRACK 12.82 79.74 76.92 100.0 76.92 76.92 81.03 81.03 49.74 76.92 78.21 78.21
5 FACESIM 25.64 78.72 76.92 100.0 76.92 76.92 80.77 80.51 56.67 76.92 78.21 66.41
6 FERRET 57.69 78.46 76.92 100.0 76.92 76.92 81.79 82.31 57.95 76.92 78.21 67.69
7 HEARTWALL 44.87 79.74 76.92 100.0 76.92 76.92 82.31 83.08 56.92 76.92 78.72 45.13
8 HOTSPOT 8.21 7.44 0.0 100.0 0.26 99.23 79.74 79.74 50.51 0.26 6.67 7.69
9 JACOBI 12.82 78.72 1.03 100.0 0.26 0.26 80.0 84.62 45.38 8.97 2.82 4.62
10 KMEANS 77.44 78.97 76.92 100.0 76.92 76.92 80.51 80.51 59.49 76.92 77.95 77.18
11 KMEANSNF 8.21 78.72 85.13 100.0 85.13 76.92 83.59 82.82 49.49 79.49 76.92 77.95
12 LAVAMD 7.69 78.72 100.0 100.0 76.92 76.92 80.77 80.77 48.21 85.38 77.18 3.59
13 LEUKOCYTE 8.46 8.97 0.0 100.0 76.92 76.92 79.49 79.23 42.56 4.62 77.69 7.44
14 LUD 45.38 78.46 100.0 100.0 100.0 100.0 78.21 100.0 60.0 100.0 100.0 77.69
15 NW 9.23 80.0 0.51 100.0 76.92 77.44 79.74 79.74 42.31 0.0 77.69 4.87
16 SHA 6.15 77.69 76.92 100.0 76.92 76.92 81.03 81.03 50.0 76.92 77.69 77.44
17 SRAD 76.92 79.74 82.31 100.0 77.44 77.44 78.72 79.74 61.03 76.92 77.95 77.95
18 STREAM 7.95 7.95 99.74 100.0 0.0 0.0 77.69 83.08 43.08 100.0 7.44 7.95
19 STREAM_threads 8.21 9.74 100.0 100.0 100.0 76.92 86.92 86.92 40.0 100.0 100.0 10.26
20 X264_ducks 78.72 78.72 76.92 100.0 76.92 76.67 77.95 77.95 76.41 76.92 76.67 62.56
21 X264_native 56.15 78.72 76.92 100.0 76.92 76.92 80.77 80.77 55.38 76.92 64.36 64.36
22 AVERAGE 31.06 62.32 61.5 100.0 61.25 72.81 80.6 82.16 52.8 59.43 61.81 43.05
