0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 61.35 4.02 8.37 14.45 7.44 7.8 5.4 8.44 0.28 8.46 4.39
2 BFS 0.0 50.08 4.16 0.0 4.15 0.0 0.0 2.13 9.21 1.84 4.16 1.79
3 BLACKSCHOLES_10M 0.0 73.98 56.27 50.72 73.98 55.33 78.73 56.1 38.05 55.21 3.77 3.18
4 BODYTRACK 0.0 47.23 8.17 0.0 39.8 0.81 3.59 2.32 8.5 10.16 3.26 2.66
5 FACESIM 0.0 61.45 13.84 6.31 52.95 13.81 15.56 6.4 8.12 0.5 4.09 4.11
6 FERRET 0.0 41.49 12.95 0.0 41.49 4.1 43.16 5.02 4.74 0.0 2.12 2.3
7 HEARTWALL 0.0 47.32 15.23 0.95 47.35 11.27 58.89 12.4 6.17 8.48 1.48 2.71
8 HOTSPOT 0.0 44.23 0.97 0.0 32.2 0.0 0.91 2.31 7.59 0.21 2.0 1.68
9 JACOBI 0.0 73.9 15.86 28.69 0.74 0.71 23.93 24.5 9.23 52.23 7.79 9.3
10 KMEANS 0.0 46.03 18.57 0.0 46.0 1.39 51.08 3.02 9.97 0.64 1.72 2.1
11 KMEANSNF 0.0 65.18 47.57 7.19 65.18 15.64 20.62 8.55 5.48 36.79 8.51 7.25
12 LAVAMD 0.0 88.36 69.35 75.05 15.22 75.06 66.96 74.64 46.08 75.32 21.2 24.64
13 LEUKOCYTE 0.0 66.3 0.0 37.69 0.0 37.74 19.72 27.17 15.93 6.72 5.38 7.33
14 LUD 0.0 91.41 91.41 0.0 91.42 32.04 77.21 5.07 7.94 8.67 2.87 3.11
15 NW 0.0 59.43 0.0 0.0 6.17 6.16 5.26 1.47 10.74 2.45 5.14 2.5
16 SHA 0.0 44.08 14.39 0.0 35.42 0.0 3.54 2.36 9.12 7.27 3.21 1.85
17 SRAD 0.0 69.68 20.6 3.72 19.5 19.49 19.84 20.19 13.46 19.51 4.02 5.72
18 STREAM 0.0 62.98 0.0 20.37 0.0 10.36 40.99 15.88 10.15 0.24 8.22 8.54
19 STREAM_threads 0.0 80.77 16.72 41.1 97.16 0.0 36.53 33.72 14.79 14.71 98.47 11.62
20 X264_ducks 0.0 40.2 15.49 0.0 40.26 7.06 9.49 6.12 6.81 0.0 2.77 2.98
21 X264_native 0.0 41.21 13.45 0.0 41.21 5.34 50.37 4.93 9.29 0.0 2.34 2.58
22 AVERAGE 0.0 59.84 20.91 13.34 36.41 14.47 30.2 15.22 12.37 14.34 9.57 5.35
