0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 backprop 0.0 0.0 0.0 5.49 0.0 0.0 1.9 3.1 1.51 4.39 98.4 1.5
2 bfs 0.0 0.0 0.0 13.96 0.0 0.0 0.0 4.79 1.32 4.01 99.22 1.7
3 filebound 0.0 24.67 7.17 15.11 4.73 0.0 16.75 19.35 1.21 7.01 99.2 1.54
4 Kmeansnf 0.0 76.43 62.81 72.87 99.96 1.45 78.21 76.43 5.24 13.13 99.77 15.55
5 svmrfe 0.0 14.79 6.89 2.19 7.77 5.59 29.25 6.04 5.67 12.07 98.53 5.82
6 apr 0.0 11.48 7.89 5.83 1.49 7.75 19.54 2.3 6.46 13.93 98.11 6.36
7 btree 0.0 0.0 0.0 4.08 0.0 0.0 0.08 1.01 0.19 4.36 99.41 0.14
8 lud 0.0 13.94 99.61 0.4 99.61 32.17 37.86 13.26 22.75 31.49 98.86 18.82
9 nn 0.0 37.21 14.36 34.06 27.62 6.11 33.46 31.41 5.03 21.7 99.36 5.12
10 particlefilter 0.0 11.86 4.58 4.58 12.21 1.94 10.98 5.0 2.13 7.97 99.05 3.43
11 PLSA 0.0 36.71 2.62 24.93 15.17 26.42 7.86 27.65 28.66 9.22 99.25 28.61
12 Scalparc 0.0 27.81 3.79 15.48 3.73 15.59 13.11 13.49 5.74 4.5 99.17 5.39
13 semphy 0.0 0.0 0.0 1.19 0.0 0.0 1.23 1.07 0.55 5.83 99.31 0.53
14 streamcluster 0.0 26.85 24.03 13.1 36.23 24.11 30.18 20.54 4.15 25.92 97.32 3.7
15 swaptions 0.0 17.93 5.93 4.7 10.84 4.58 11.75 3.03 3.99 1.79 99.05 5.61
16 Swish 0.0 25.06 7.63 15.32 5.08 0.0 16.84 19.1 0.0 11.44 99.32 0.37
17 vips 0.0 11.15 9.1 13.06 10.53 10.53 19.45 15.98 11.25 19.88 99.38 11.25
18 x264 0.0 11.48 6.32 10.37 5.71 8.91 11.19 4.8 4.43 11.86 99.18 4.51
19 blackscholes 0.0 13.25 0.24 1.7 17.33 1.1 3.4 4.44 2.97 3.39 99.02 3.01
20 bodytrack 0.0 5.17 8.38 0.0 2.56 0.7 7.09 0.68 1.73 4.61 99.21 1.61
21 cfd 0.0 15.01 0.56 0.44 15.21 5.05 12.55 4.75 6.26 2.44 99.27 6.09
22 fluidanimate 0.0 19.47 13.4 2.63 16.63 12.54 16.31 8.72 10.33 16.61 99.1 10.5
23 HOP 0.0 28.73 1.61 18.7 11.19 15.67 8.14 20.87 22.42 4.67 99.35 22.59
24 Jacobi 0.0 21.95 99.87 6.0 99.87 0.65 40.79 12.14 0.66 31.81 99.09 0.6
25 Kmeans 0.0 59.02 100.0 53.16 100.0 2.09 60.87 58.97 3.73 62.3 99.63 3.88
26 AVERAGE 0.0 20.4 19.47 13.57 24.14 7.32 19.55 15.16 6.34 13.45 99.06 6.73
