0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 backprop 0.0 1.32 0.67 1.28 0.0 1.3 4.22 4.22 2.12 2.88 0.78 3.83
2 bfs 0.0 0.0 0.0 0.0 0.0 0.0 3.61 3.61 3.73 3.01 1.01 1.88
3 filebound 0.0 20.27 100.0 20.27 99.71 5.11 20.2 20.2 3.03 11.29 0.0 0.63
4 Kmeansnf 0.0 77.01 99.96 77.01 99.96 3.88 77.01 77.01 3.89 10.24 9.91 2.48
5 svmrfe 0.0 7.65 98.99 7.68 98.99 14.1 0.7 0.7 8.2 7.57 7.35 10.32
6 apr 0.0 7.8 100.0 7.74 98.63 13.62 2.42 2.3 7.63 14.91 19.54 7.36
7 btree 0.0 0.0 0.0 0.0 0.0 0.0 1.12 1.12 0.99 2.37 1.04 1.38
8 lud 0.0 8.7 99.59 8.65 99.59 99.59 0.34 0.0 10.58 29.36 28.35 13.35
9 nn 0.0 30.47 100.0 30.33 100.0 15.32 30.33 30.33 6.16 12.45 22.61 4.57
10 particlefilter 0.0 5.06 0.0 5.0 5.4 0.0 1.26 1.26 6.33 2.62 5.09 0.71
11 PLSA 0.0 34.06 34.12 34.06 11.58 34.06 33.98 33.98 13.77 10.01 10.82 14.77
12 Scalparc 0.0 20.21 8.72 20.18 11.19 8.11 14.6 14.6 8.11 5.8 7.5 13.18
13 semphy 0.0 1.06 0.0 1.01 0.04 1.56 2.15 2.15 3.31 3.18 1.71 2.22
14 streamcluster 0.0 14.96 97.57 14.91 97.57 97.57 0.0 0.0 14.51 17.77 26.0 15.04
15 swaptions 0.0 16.41 16.36 16.36 15.48 15.47 10.1 10.1 12.39 0.51 13.13 11.21
16 Swish 0.0 20.61 100.0 20.61 99.88 5.39 20.61 20.66 4.78 8.63 0.0 1.11
17 vips 0.0 11.7 9.6 11.73 11.16 11.16 9.05 9.05 14.13 10.67 11.34 11.34
18 x264 0.0 7.72 11.62 7.72 99.87 13.85 7.61 7.62 7.75 8.51 5.77 6.22
19 blackscholes 0.0 10.82 3.63 10.77 15.75 18.15 6.14 6.14 9.17 10.21 14.41 6.57
20 bodytrack 0.0 3.99 7.21 3.94 5.36 7.61 0.56 0.56 7.06 6.66 3.64 4.97
21 cfd 0.0 11.87 0.0 11.82 12.1 12.1 0.62 0.6 13.74 1.94 11.12 8.9
22 fluidanimate 0.0 13.38 100.0 13.33 100.0 16.74 1.04 1.04 11.43 16.61 20.08 14.33
23 HOP 0.0 24.56 20.23 24.44 5.87 20.15 16.53 16.53 16.06 21.3 5.56 14.52
24 Jacobi 0.0 18.72 99.87 18.65 99.87 2.07 2.49 2.49 10.16 30.03 10.74 2.24
25 Kmeans 0.0 60.18 100.0 60.18 100.0 2.03 60.18 60.18 4.51 43.17 20.63 2.13
26 AVERAGE 0.0 17.14 48.32 17.11 51.52 16.76 13.07 13.06 8.14 11.67 10.33 7.01
