0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 backprop 0.0 0.26 0.0 0.0 0.0 0.0 2.05 3.59 46.67 2.56 1.79 2.05
2 bfs 0.0 0.26 0.0 0.0 0.0 0.0 1.54 2.56 41.28 2.05 3.33 3.33
3 filebound 0.0 1.03 0.0 0.0 0.0 0.0 0.77 0.77 43.59 3.59 1.28 3.85
4 Kmeansnf 0.0 100.0 100.0 100.0 100.0 0.0 100.0 100.0 46.15 11.79 100.0 2.56
5 svmrfe 0.0 0.51 0.77 0.26 0.51 0.51 1.03 1.28 37.44 2.05 1.54 1.03
6 apr 0.0 0.26 2.82 0.0 0.0 0.0 1.79 0.77 42.56 2.31 0.51 1.03
7 btree 0.0 0.26 0.0 0.0 0.0 0.0 2.56 4.87 43.33 1.79 2.56 1.79
8 lud 0.0 0.0 100.0 100.0 100.0 0.0 5.64 6.41 45.64 100.0 100.0 1.03
9 nn 0.0 0.26 0.0 0.0 0.0 0.0 0.26 0.0 43.85 1.79 4.36 2.05
10 particlefilter 0.0 1.79 0.0 0.0 0.0 0.0 1.28 1.03 43.08 1.03 1.03 1.03
11 PLSA 0.0 0.77 37.44 0.0 0.0 37.44 0.51 0.51 41.28 1.54 3.85 4.1
12 Scalparc 0.0 0.26 0.26 0.0 0.26 0.0 0.26 1.03 40.51 1.28 2.31 0.0
13 semphy 0.0 1.03 74.36 0.0 0.0 0.0 2.05 2.05 42.31 2.05 2.56 2.05
14 streamcluster 0.0 0.77 0.26 11.79 100.0 11.79 3.59 5.9 40.51 0.77 2.56 1.28
15 swaptions 0.0 0.26 0.0 0.0 0.0 0.26 0.26 1.03 41.28 1.28 1.54 1.28
16 Swish 0.0 0.26 0.0 0.0 0.0 0.0 0.26 0.26 39.49 2.05 3.33 1.79
17 vips 0.0 0.51 0.0 0.0 0.0 0.0 3.85 4.36 39.74 1.54 0.26 1.54
18 x264 0.0 0.77 0.0 0.0 0.0 0.0 0.77 0.77 42.31 2.31 2.05 2.82
19 blackscholes 0.0 1.28 0.77 0.26 0.26 0.51 1.03 1.03 43.85 2.31 1.54 2.31
20 bodytrack 0.0 1.03 0.0 0.0 0.0 0.26 0.51 0.51 44.36 1.79 2.56 2.31
21 cfd 0.0 0.77 22.31 0.0 0.0 0.0 0.77 0.51 42.31 0.77 0.77 1.03
22 fluidanimate 0.0 1.03 5.38 0.26 0.26 3.08 3.33 1.54 42.05 0.26 0.26 0.26
23 HOP 0.0 0.51 1.28 0.0 0.0 0.0 0.77 0.77 41.79 2.31 1.54 2.05
24 Jacobi 0.0 1.28 100.0 0.0 100.0 0.0 1.54 1.28 42.82 99.49 100.0 4.1
25 Kmeans 0.0 100.0 100.0 100.0 100.0 0.0 100.0 100.0 43.33 52.05 100.0 3.59
26 AVERAGE 0.0 8.61 21.83 12.5 20.05 2.15 9.46 9.71 42.46 12.03 17.66 2.01
