Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0.0368421 0.0368421 0.0368421 0.0368421 0.0263158 0.363158 0.0473684 0.0473684 1 0.0473684
bfs 0 0 0.0368421 0.0368421 0.0263158 0.0315789 0.0263158 0.5 0.0631579 0.0368421 1 0.0368421
filebound 0 0 0.621053 0.668421 0.0315789 0.0473684 0.168421 0.736842 0.0263158 0.0789474 1 0.0842105
Kmeansnf 0 0 1 1 1 0.0368421 1 1 0.0736842 0.984211 1 0.0631579
svmrfe 0 0 1 0.0210526 1 0.0210526 0.521053 0.0210526 0.0210526 0.0263158 1 0.0473684
apr 0 0 0.810526 0.0157895 0.0157895 0.0157895 0.0210526 0.0157895 0.0368421 0.0368421 1 0.0421053
btree 0 0 0.0315789 0.0315789 0.0315789 0.0315789 0.0315789 0.284211 0.0578947 0.0368421 1 0.0368421
lud 0 0 1 1 1 1 1 0.0263158 0.447368 1 1 0.0631579
nn 0 0 0.0315789 0.547368 1 0.0315789 1 0.563158 0.0526316 0.0526316 1 0.0368421
particlefilter 0 0 0.0263158 0.0210526 0.0210526 0.710526 0.257895 0.0789474 0.0315789 0.0368421 1 0.0263158
PLSA 0 0 1 0.0157895 0.0157895 1 0.0263158 0.0157895 0.0315789 0.0315789 1 0.0315789
Scalparc 0 0 0.0315789 0.0315789 0.0315789 0.147368 0.0263158 0.0368421 0.0473684 0.0421053 1 0.0631579
semphy 0 0 0.0368421 0.0315789 0.0263158 0.0368421 0.0210526 0.121053 0.0631579 0.0578947 1 0.0473684
streamcluster 0 0 1 0.984211 1 1 1 0.247368 0.989474 0.0578947 1 0.0684211
swaptions 0 0 0.147368 0.0263158 0.0263158 0.0473684 0.0263158 0.0368421 0.0473684 0.0578947 1 0.0578947
Swish 0 0 0.621053 0.684211 0.0263158 0.0421053 0.115789 0.621053 0.0526316 0.0526316 1 0.0631579
vips 0 0 0.0315789 0.0368421 0.0368421 0.0421053 0.0315789 0.189474 0.0684211 0.0526316 1 0.0526316
x264 0 0 0.221053 0.0368421 0.0368421 0.0368421 0.0105263 0.0578947 0.0368421 0.0315789 1 0.0789474
blackscholes 0 0 0.0315789 0.0315789 0.0263158 0.0315789 0.0210526 0.0473684 0.0842105 0.0473684 1 0.0473684
bodytrack 0 0 0.0368421 0.0315789 0.0368421 0.0315789 0.0421053 0.0789474 0.0947368 0.0526316 1 0.0526316
cfd 0 0 0.0210526 0.0210526 0.0210526 0.0210526 0.00526316 0.0631579 0.0263158 0.0421053 1 0.0421053
fluidanimate 0 0 0.0210526 0.0210526 0.0210526 0.0210526 0.0894737 0.147368 0.0894737 0.0789474 1 0.0789474
HOP 0 0 0.0736842 0.0263158 0.0263158 0.0315789 0.0263158 0.0947368 0.0789474 0.0473684 1 0.0473684
Jacobi 0 0 1 0.231579 1 0.0210526 0.984211 0.136842 0.0368421 1 1 0.0631579
Kmeans 0 0 1 1 1 0.0263158 1 1 0.126316 0.0526316 1 0.0526316
AVERAGE 0 0 0.394737 0.263579 0.299789 0.18 0.299158 0.259368 0.109263 0.161684 1 0.0532632
