Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 25.2366 5.70699 2.29231 3.90864 3.45538 2.56294 3.90687 2.2868 4.81098 3.02486 2.56647
bfs 0 27.7592 3.74648 3.13828 2.29 3.18693 0.176145 5.83307 2.04494 4.36515 1.62241 2.37767
filebound 0 0 9.20716 12.5892 8.54432 1.3613 16.5434 19.4198 1.8358 8.87565 11.3803 3.09812
Kmeansnf 0 19.7673 30.6932 55.6312 19.7673 5.22651 63.4344 65.3276 5.94468 13.9682 5.41598 24.3397
svmrfe 0 5.4499 2.07682 12.1321 11.747 8.81833 29.572 8.48243 7.26918 12.956 10.8079 7.69273
apr 0 0 5.21412 15.2803 4.83236 6.94976 21.2221 3.73156 7.16688 15.6868 6.82769 10.3396
btree 0 23.9717 7.81271 1.09336 0.169925 0.0259727 1.01707 2.23825 0.868456 4.78949 1.31902 2.02027
lud 0 0 0 10.6867 0 31.4629 33.1718 13.064 21.4989 29.1733 30.3409 19.2977
nn 0 0 18.1655 29.5004 30.9537 8.34721 32.9879 32.4702 5.39891 21.6343 23.3245 4.96656
particlefilter 0 0 4.92114 8.43335 26.6854 1.09086 16.6359 5.62431 2.71169 8.17726 20.6361 4.77014
PLSA 0 0 18.1129 26.8165 18.2778 18.2889 14.5661 28.1265 29.3858 10.4749 17.5445 30.8049
Scalparc 0 0 4.62589 22.2357 6.20513 10.6144 14.1605 13.2624 7.61762 5.5793 6.79552 8.15683
semphy 0 22.0585 3.12707 1.19755 2.54051 0.587739 3.0471 1.82007 1.0249 6.13386 6.05771 3.40973
streamcluster 0 0 27.7106 24.5126 40.8291 22.2442 29.4651 21.055 26.6392 26.6153 35.6719 6.92098
swaptions 0 0 4.85332 12.6247 15.0759 6.75784 17.6753 3.89081 4.82412 2.78479 7.26207 12.8049
Swish 0 0 8.62959 11.8114 8.08297 0.4728 16.5473 19.3721 0.543844 7.55084 10.7481 0.37643
vips 0 16.9673 21 18.2523 25.8235 25.8235 20.6904 17.3389 11.8404 21.4762 11.863 11.752
x264 0 0 4.76109 17.1745 10.8443 5.28317 14.2802 4.95226 6.0201 8.50214 12.3457 5.21592
blackscholes 0 0 5.39846 10.0285 19.7394 2.05858 13.9319 5.02614 3.31243 4.20578 10.5307 3.78954
bodytrack 0 0 1.73033 7.20923 5.01259 1.25341 9.4 1.54605 2.37529 5.4515 12.1126 3.07041
cfd 0 0 4.0397 10.0303 29.5125 12.4147 19.7439 5.17387 6.75282 3.06402 17.5033 6.79223
fluidanimate 0 0 12.5461 14.2898 20.5019 8.32886 19.9154 8.85753 11.4065 17.0528 17.5049 11.7205
HOP 0 0 4.44995 24.8861 18.5396 24.8338 12.7486 21.2423 22.4055 14.0367 15.593 24.8286
Jacobi 0 0 0 19.1285 0 1.89409 37.5032 11.3944 1.15112 1.35706 12.9089 3.1741
Kmeans 0 14.5643 14.5643 45.8509 14.3258 4.44177 13.8513 58.3293 4.0987 57.2224 11.5395 4.28114
AVERAGE 1 1.06231 1.08924 1.16673 1.13768 1.08609 1.18994 1.15259 1.07857 1.12638 1.12827 1.08743
