Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0 5.49176 0 0 1.901 3.0955 1.51056 4.39202 98.4037 1.49596
bfs 0 0 0 13.9564 0 0 0 4.78788 1.31657 4.01165 99.2219 1.69826
filebound 0 24.6714 7.17106 15.1085 4.7274 0 16.7466 19.3472 1.20746 7.01128 99.1987 1.53535
Kmeansnf 0 76.4269 62.8104 72.8655 99.9565 1.45303 78.2084 76.4259 5.23818 13.1262 99.7684 15.5471
svmrfe 0 14.7923 6.89174 2.19146 7.77463 5.58798 29.2497 6.03911 5.66841 12.0712 98.5281 5.82064
apr 0 11.4805 7.88611 5.83489 1.48815 7.75238 19.5432 2.30156 6.46472 13.9258 98.1123 6.36458
btree 0 0 0 4.07926 0 0 0.0825186 1.00845 0.190511 4.36413 99.4068 0.143123
lud 0 13.9416 99.6091 0.40351 99.6091 32.1682 37.8604 13.262 22.7515 31.4944 98.8584 18.816
nn 0 37.208 14.3641 34.063 27.6184 6.10944 33.4607 31.4129 5.02507 21.698 99.3587 5.11655
particlefilter 0 11.8649 4.58056 4.5767 12.2126 1.94308 10.9761 5.00333 2.13236 7.96537 99.0543 3.43384
PLSA 0 36.7138 2.62382 24.9275 15.1728 26.4162 7.8609 27.6493 28.6639 9.21972 99.2492 28.612
Scalparc 0 27.8107 3.7934 15.4814 3.72969 15.5949 13.1142 13.487 5.73969 4.49661 99.1735 5.3934
semphy 0 0 0 1.19131 0 0 1.23219 1.07322 0.545806 5.8341 99.3072 0.52646
streamcluster 0 26.8511 24.0295 13.0973 36.2337 24.1126 30.1791 20.541 4.14741 25.9222 97.3204 3.69548
swaptions 0 17.9333 5.93496 4.70473 10.8372 4.57713 11.7539 3.03468 3.98995 1.79129 99.052 5.61348
Swish 0 25.0565 7.627 15.3157 5.08146 0 16.8425 19.0989 0 11.4361 99.3221 0.371032
vips 0 11.1547 9.10283 13.057 10.5308 10.5308 19.4515 15.9763 11.2508 19.8754 99.3817 11.2511
x264 0 11.477 6.31521 10.3742 5.71336 8.90904 11.1907 4.79545 4.42783 11.8631 99.1812 4.50629
blackscholes 0 13.251 0.241858 1.69782 17.3278 1.10039 3.39748 4.43971 2.96776 3.39494 99.016 3.0068
bodytrack 0 5.17055 8.38439 0 2.55865 0.704713 7.08687 0.681099 1.72996 4.61111 99.2069 1.61324
cfd 0 15.0094 0.560537 0.439025 15.2148 5.04965 12.549 4.75495 6.26494 2.43701 99.2712 6.08906
fluidanimate 0 19.4702 13.3974 2.63238 16.6275 12.5368 16.3084 8.72016 10.3309 16.6108 99.1034 10.4972
HOP 0 28.7327 1.61026 18.6993 11.1879 15.6669 8.13792 20.8702 22.4182 4.67303 99.3455 22.5937
Jacobi 0 21.9453 99.8715 6.00161 99.8715 0.651394 40.7912 12.1413 0.660109 31.8099 99.0886 0.597297
Kmeans 0 59.0231 99.9956 53.1632 99.9956 2.08914 60.8716 58.967 3.73442 62.3031 99.6327 3.87506
AVERAGE 1 1.20399 1.19472 1.13574 1.24139 1.07318 1.19552 1.15157 1.06335 1.13454 1.99063 1.06729
